CommissionID,SaleID,AgentName,Rate,Amount
CM0078,SA0078,Ashley Suarez,2.49,282.28
CM0079,SA0079,Cameron Hoffman,8.92,591.34
CM0080,SA0080,Connie Richmond,6.84,1126.39
CM0081,SA0081,Joe Campbell,4.17,330.83
CM0082,SA0082,John Jennings,5.54,592.62
CM0083,SA0083,Dennis Norman,6.53,1608.34
CM0084,SA0084,Mr. Michael Harris,5.6,1626.37
CM0085,SA0085,Renee Cameron,4.35,571.55
CM0086,SA0086,Vanessa Werner,1.31,129.18
CM0087,SA0087,Kevin Ayers,4.64,319.16
CM0088,SA0088,Carmen Norris,1.75,113.62
CM0089,SA0089,George Nichols,9.7,1373.44
CM0090,SA0090,Rodney Holt,6.37,1427.38
CM0091,SA0091,Cynthia Boyd,5.34,1002.89
CM0092,SA0092,Gregory Johnson,8.35,956.17
CM0093,SA0093,Lynn Calderon,7.63,561.21
CM0094,SA0094,Michelle Griffith,3.27,406.45
CM0095,SA0095,Dana Padilla,6.35,887.7
CM0096,SA0096,Billy Smith,6.77,477.0
CM0097,SA0097,Colleen Gonzales,8.7,546.8
CM0098,SA0098,Kristy Fowler,1.81,13.37
CM0099,SA0099,Sierra Lee,3.67,534.6
CM0100,SA0100,Angela Ramos,1.18,60.85
CM0101,SA0101,Jenna Duffy,7.49,1510.25
CM0102,SA0102,Timothy Castro,2.5,334.72
CM0103,SA0103,Vincent Johnson,3.4,238.76
CM0104,SA0104,April Blair,2.06,169.5
CM0105,SA0105,Christopher Mullen,7.98,1763.36
CM0106,SA0106,Colton Mcbride,6.28,1008.23
CM0107,SA0107,Tara Downs,8.86,1635.81
CM0108,SA0108,Philip Gamble,8.51,1241.1
CM0109,SA0109,Brittany Herman,8.07,34.83
CM0110,SA0110,Scott Gregory,7.03,740.21
CM0111,SA0111,Holly Bishop,4.54,134.15
CM0112,SA0112,Sarah Taylor,9.31,1591.81
CM0113,SA0113,Christopher Parks,2.36,51.71
CM0114,SA0114,John Clark,1.31,36.84
CM0115,SA0115,Bobby Edwards,3.04,910.95
CM0116,SA0116,Mackenzie Sherman,6.62,1490.84
CM0117,SA0117,Rhonda Smith,4.9,760.26
CM0118,SA0118,Katherine Roberts,9.49,2517.57
CM0119,SA0119,Christopher Harding,9.06,1641.5
CM0120,SA0120,Michele Barker,2.73,45.39
CM0121,SA0121,Nancy Gardner,8.48,314.59
CM0122,SA0122,Daniel Rodriguez,9.85,1739.72
CM0123,SA0123,Susan Avila,7.44,983.34
CM0124,SA0124,Andrew Nelson,4.28,765.25
CM0125,SA0125,Robert Marks,6.68,391.13
CM0126,SA0126,Robert Carter,3.89,303.12
CM0127,SA0127,Deanna Hoffman,5.85,1358.22
CM0128,SA0128,Ryan Williams,8.41,425.07
CM0129,SA0129,Ashley Solis DVM,4.43,199.86
CM0130,SA0130,Jennifer Hughes,4.47,590.32
CM0131,SA0131,Sean Wolfe,8.38,1541.36
CM0132,SA0132,Jason Morgan,9.57,422.47
CM0133,SA0133,Sarah Todd,6.23,1664.16
CM0134,SA0134,Heather Acevedo DDS,7.59,1446.06
CM0135,SA0135,Desiree Alvarado,9.48,1070.0
CM0136,SA0136,Monica Pena,4.02,1052.89
CM0137,SA0137,James Phillips,3.17,377.56
CM0138,SA0138,Timothy Johnston,9.04,227.72
CM0139,SA0139,John Brewer,8.91,2549.11
CM0140,SA0140,Amy Harris,2.4,141.65
CM0141,SA0141,Diana Herrera,7.46,75.11
CM0142,SA0142,James King,6.0,1145.8
CM0143,SA0143,Samantha Fry,6.47,565.23
CM0144,SA0144,Zachary Holland,8.88,1805.81
CM0145,SA0145,Ashley Spears,7.88,1239.75
CM0146,SA0146,Carl Hernandez,8.15,2192.77
CM0147,SA0147,Kendra Moss,5.87,496.35
CM0148,SA0148,Jordan Jefferson,5.09,796.65
CM0149,SA0149,Austin Good,9.64,1908.43
CM0150,SA0150,Veronica Mercado,1.43,353.59
CM0151,SA0151,David Pearson,4.75,492.3
CM0152,SA0152,Jonathan Austin,3.56,459.5
CM0153,SA0153,Jenna Campos,6.79,445.67
CM0154,SA0154,Tim Bennett,4.9,770.77
CM0155,SA0155,Thomas Kerr,4.8,828.24
CM0156,SA0156,Dr. Traci Padilla,4.85,669.41
CM0157,SA0157,Maria Lindsey,9.6,745.5
CM0158,SA0158,Jonathan Williams,1.8,184.28
CM0159,SA0159,Mary Gonzalez,8.21,926.75
CM0160,SA0160,Jeffrey Hawkins,1.94,17.16
CM0161,SA0161,Gary Dudley,4.44,889.32
CM0162,SA0162,Rebecca Fuentes,1.86,313.57
CM0163,SA0163,Sarah Reed,6.86,1038.67
CM0164,SA0164,Luis Armstrong,3.12,431.28
CM0165,SA0165,Tiffany Phillips,7.27,472.84
CM0166,SA0166,Darryl Thomas,8.63,2516.7
CM0167,SA0167,Eric Mendoza,7.6,1789.45
CM0168,SA0168,Donald Collins,9.91,1259.17
CM0169,SA0169,Kimberly Lyons,6.78,1184.14
CM0170,SA0170,David Hernandez,8.21,2106.59
CM0171,SA0171,Mary Miller,1.08,27.76
CM0172,SA0172,Kathleen Collins,5.61,1886.05
CM0173,SA0173,Samantha Thompson,4.69,140.66
CM0174,SA0174,Sonya Barton,9.78,223.01
CM0175,SA0175,Jeremy Powers,9.36,1461.12
CM0176,SA0176,Elizabeth Allen,5.66,1401.56
CM0177,SA0177,Lisa Jackson,2.72,343.88
CM0178,SA0178,Frank Mclaughlin,8.45,161.88
CM0179,SA0179,Christopher Jordan,6.88,688.26
CM0180,SA0180,Melissa Dawson,8.06,753.07
CM0181,SA0181,Natasha Rodriguez,1.06,113.85
CM0182,SA0182,Anthony Kent,7.75,1182.92
CM0183,SA0183,Julie White,4.57,109.22
CM0184,SA0184,Shannon Haas,8.77,1771.27
CM0185,SA0185,Zachary Olson,1.81,5.25
CM0186,SA0186,Amber Jones,7.21,1340.83
CM0187,SA0187,Tammie Holt,5.13,54.96
CM0188,SA0188,Richard Gordon,3.88,259.31
CM0189,SA0189,Jessica Carpenter MD,5.91,569.24
CM0190,SA0190,Christian Stephens,4.36,1002.25
CM0191,SA0191,Jack Burgess,2.92,462.87
CM0192,SA0192,Dr. Paul Jones,4.37,69.69
CM0193,SA0193,Tammie Cook,3.34,372.98
CM0194,SA0194,Lauren Bell,5.06,908.26
CM0195,SA0195,Jennifer Ingram,4.01,701.85
CM0196,SA0196,Lauren Flores,8.64,152.35
CM0197,SA0197,Amy Rogers,6.42,738.39
CM0198,SA0198,Fred Knox,1.55,168.46
CM0199,SA0199,Dana Jackson,3.49,324.38
CM0200,SA0200,Matthew Baxter,9.23,919.01
CM0201,SA0201,Michael Ayala,9.06,1315.54
CM0202,SA0202,Susan Harris,1.25,122.45
CM0203,SA0203,Steven Foster,3.93,664.94
CM0204,SA0204,Jennifer Hall,8.32,420.94
CM0205,SA0205,Amy Barnes,3.24,316.04
CM0206,SA0206,Cristian Chambers,5.55,270.56
CM0207,SA0207,Timothy Brown,8.8,1037.29
CM0208,SA0208,Miranda Martin,7.32,489.23
CM0209,SA0209,Lorraine Waters DVM,3.66,1.62
CM0210,SA0210,Randy Nelson,1.32,235.81
CM0211,SA0211,Nathan Ward,4.76,1174.71
CM0212,SA0212,Sharon Bennett,1.52,229.79
CM0213,SA0213,Tommy Calderon,2.13,61.7
CM0214,SA0214,Jonathan Koch,5.13,1358.13
CM0215,SA0215,Veronica Mcclure,3.22,182.57
CM0216,SA0216,Mark Smith,8.22,467.09
CM0217,SA0217,Melissa Taylor,9.72,1243.12
CM0218,SA0218,Jose Hernandez,8.13,948.72
CM0219,SA0219,Sarah Day,6.5,2200.54
CM0220,SA0220,Timothy Hernandez,5.11,101.37
CM0221,SA0221,Denise Berry,3.18,484.82
CM0222,SA0222,Kimberly Garrett,1.32,34.46
CM0223,SA0223,Lisa Martinez,9.16,1276.9
CM0224,SA0224,Michael Martinez,8.44,1768.16
CM0225,SA0225,Megan Banks,9.63,2156.54
CM0226,SA0226,Rachael Davis,3.29,566.96
CM0227,SA0227,Lisa Hines,1.34,41.53
CM0228,SA0228,Kevin Ferguson,3.3,154.26
CM0229,SA0229,John Brown,3.15,13.43
CM0230,SA0230,Jason Burns,7.73,1800.48
CM0231,SA0231,Scott Salazar,6.82,682.89
CM0232,SA0232,Kristen Perkins,5.89,1714.19
CM0233,SA0233,Tracy Stein,6.92,544.35
CM0234,SA0234,Ronald Price,1.81,76.26
CM0235,SA0235,Brooke Leonard,8.5,793.94
CM0236,SA0236,Daniel Scott,2.63,349.88
CM0237,SA0237,Margaret Clark,6.41,968.98
CM0238,SA0238,Jeffery Thomas,7.43,1883.66
CM0239,SA0239,Felicia Flores,1.23,168.62
CM0240,SA0240,Steven Johnson,9.54,76.88
CM0241,SA0241,Mackenzie Perez,9.5,1257.73
CM0242,SA0242,Mark Ramirez,6.46,1818.63
CM0243,SA0243,Joseph Jones,2.65,138.58
CM0244,SA0244,Brandon Gray,9.76,1803.9
CM0245,SA0245,Sierra Campbell,6.71,1015.33
CM0246,SA0246,Desiree Ortiz,8.43,1418.64
CM0247,SA0247,Christine Lopez,2.05,125.77
CM0248,SA0248,Maria Vincent,6.82,1216.53
CM0249,SA0249,Brandon Fox,9.47,1358.4
CM0250,SA0250,Rebecca Foster,9.96,332.62
CM0251,SA0251,Mr. Nathaniel Barton,2.87,444.06
CM0252,SA0252,Hannah Reed,2.93,224.42
CM0253,SA0253,Jason Cook,5.92,710.37
CM0254,SA0254,Lynn Davis,8.88,794.48
CM0255,SA0255,Shannon Eaton,7.31,1199.3
CM0256,SA0256,Richard Nicholson,1.69,173.72
CM0257,SA0257,Julia Miller,1.52,199.85
CM0258,SA0258,Karl Campbell,1.24,121.1
CM0259,SA0259,Kevin Miller,6.34,1334.7
CM0260,SA0260,Michael Davis,2.37,482.24
CM0261,SA0261,Samantha Higgins,2.03,319.92
CM0262,SA0262,Kevin Key,5.55,874.16
CM0263,SA0263,Joshua Taylor,8.59,610.09
CM0264,SA0264,Randall Shaffer,1.38,187.74
CM0265,SA0265,Edgar Henderson,9.2,851.74
CM0266,SA0266,Richard Thomas,7.0,2032.37
CM0267,SA0267,Stephen Hammond,1.68,110.68
CM0268,SA0268,Chris Wilson,7.61,199.2
CM0269,SA0269,Elizabeth Bowman,6.77,820.05
CM0270,SA0270,Heather Osborn,2.11,262.7
CM0271,SA0271,Nicole Foster,5.51,981.91
CM0272,SA0272,Melissa Lyons,9.21,20.53
CM0273,SA0273,Seth Serrano,4.95,832.06
CM0274,SA0274,Paul Nelson,6.55,1501.89
CM0275,SA0275,Kimberly Grant,2.41,687.96
CM0276,SA0276,Robin Johnson,6.96,118.37
CM0277,SA0277,Daniel Rodriguez,9.18,2724.15
CM0278,SA0278,Christopher Green,6.3,397.78
CM0279,SA0279,David Fritz,4.61,825.4
CM0280,SA0280,Helen Shepard,8.28,1003.6
CM0281,SA0281,Julie Stewart,1.48,373.23
CM0282,SA0282,Harold Cooper,9.68,351.63
CM0283,SA0283,Daniel Cooper,7.65,519.75
CM0284,SA0284,Charles Bradley,4.49,140.32
CM0285,SA0285,Colleen Williams,3.68,401.61
CM0286,SA0286,Mrs. Sarah Lawson,1.96,323.3
CM0287,SA0287,Lori Hoffman,7.59,1269.41
CM0288,SA0288,Breanna Winters,5.62,270.19
CM0289,SA0289,Sonia Jones,5.24,216.75
CM0290,SA0290,Amanda Lee,1.83,352.98
CM0291,SA0291,Marcus Stark,8.17,2300.33
CM0292,SA0292,Louis Higgins,2.84,705.56
CM0293,SA0293,Alicia Hernandez,8.68,175.7
CM0294,SA0294,Nicholas Torres,5.34,847.59
CM0295,SA0295,Terry Sanchez,1.82,248.58
CM0296,SA0296,Donald Walton,1.67,180.81
CM0297,SA0297,Brittany Duarte,1.64,151.59
CM0298,SA0298,Christopher Petty Jr.,4.41,109.8
CM0299,SA0299,Janet Mitchell,6.69,1728.82
CM0300,SA0300,Dustin Lawrence,7.44,1916.61
CM0301,SA0301,Desiree Brown DVM,1.71,149.99
CM0302,SA0302,Christina Adams,2.04,462.84
CM0303,SA0303,Michael Cook,4.13,604.1
CM0304,SA0304,Brittany Murray,7.59,1291.59
CM0305,SA0305,Billy Giles,8.85,1324.83
CM0306,SA0306,Erik Hernandez,7.87,817.94
CM0307,SA0307,John Thomas,5.04,428.77
CM0308,SA0308,Mathew Rodriguez,4.49,491.59
CM0309,SA0309,David Hamilton,3.97,894.9
CM0310,SA0310,Cassandra Stout,9.55,3180.59
CM0311,SA0311,Angel Hardy,2.18,88.04
CM0312,SA0312,Nicole Adams,2.07,325.15
CM0313,SA0313,Lauren Reed,7.48,597.29
CM0314,SA0314,Kenneth Fleming,8.03,181.89
CM0315,SA0315,Carlos Campbell,8.56,2146.38
CM0316,SA0316,Nicole Salazar,5.04,859.67
CM0317,SA0317,Melanie Ramirez,5.83,1249.01
CM0318,SA0318,Greg Pena,6.4,1742.6
CM0319,SA0319,Victoria Williams,2.66,655.5
CM0320,SA0320,Sean Wilson,5.29,941.81
CM0321,SA0321,George Mcpherson MD,3.36,49.11
CM0322,SA0322,Robert Cohen,2.35,204.82
CM0323,SA0323,Peter King,4.07,665.04
CM0324,SA0324,Jody Crawford,7.5,1050.01
CM0325,SA0325,Michelle Reese,2.44,65.5
CM0326,SA0326,Andrea Hart,1.41,167.5
CM0327,SA0327,Margaret Atkinson,5.32,41.86
CM0328,SA0328,Angela Smith,6.11,177.17
CM0329,SA0329,Dr. Christian Sims,6.07,587.92
CM0330,SA0330,Jade Wood,3.43,164.26
CM0331,SA0331,Amanda Patton,5.68,1230.22
CM0332,SA0332,Brooke Herrera DVM,8.61,689.47
CM0333,SA0333,Robert Harris,3.33,847.03
CM0334,SA0334,Hector Flowers,9.24,2003.55
CM0335,SA0335,Jack Scott,5.61,847.88
CM0336,SA0336,Brian Barnett,5.44,708.38
CM0337,SA0337,John Long,4.39,206.68
CM0338,SA0338,Deborah Hunt,7.4,522.98
CM0339,SA0339,Jose Reynolds,4.63,1158.28
CM0340,SA0340,Phillip Gibbs,6.66,930.31
CM0341,SA0341,Thomas Arnold,4.98,754.87
CM0342,SA0342,Monica Davis,4.13,188.84
CM0343,SA0343,Erin Simpson,2.83,346.93
CM0344,SA0344,Joseph Crawford,7.98,94.12
CM0345,SA0345,Kevin Li,4.44,1287.42
CM0346,SA0346,Susan Contreras,6.79,1077.8
CM0347,SA0347,Jesus Ray,7.5,1876.84
CM0348,SA0348,Tanner Daniels,1.63,191.57
CM0349,SA0349,Dr. Lindsey Carr,9.59,645.09
CM0350,SA0350,Spencer Brooks,9.07,42.36
CM0351,SA0351,Whitney Lee,4.86,1431.82
CM0352,SA0352,Margaret Carr,4.31,406.49
CM0353,SA0353,Thomas Fisher,2.2,545.24
CM0354,SA0354,Kathy Wheeler,2.11,4.38
CM0355,SA0355,Melissa Woodard,2.75,819.09
CM0356,SA0356,Elizabeth Becker,9.19,2354.86
CM0357,SA0357,Cynthia Kaufman,6.53,617.48
CM0358,SA0358,Hannah Mcgee,4.33,964.3
CM0359,SA0359,Rachel Burns,3.26,386.19
CM0360,SA0360,Stephanie Nichols,2.92,685.75
CM0361,SA0361,Gina Morris,3.89,447.64
CM0362,SA0362,Nicholas Patel,9.09,1464.92
CM0363,SA0363,Stephanie Ray,6.49,79.43
CM0364,SA0364,Nathan Ruiz,9.78,1827.36
CM0365,SA0365,Ronald Rubio,8.26,1548.27
CM0366,SA0366,David Barnett,5.39,1419.92
CM0367,SA0367,Thomas Morris,9.25,1880.33
CM0368,SA0368,Terry Williams,4.07,295.49
CM0369,SA0369,Eric Mitchell,8.97,591.07
CM0370,SA0370,Cody Powell,1.53,176.77
CM0371,SA0371,Lance Davidson,9.1,922.96
CM0372,SA0372,Michael Odonnell,1.86,353.27
CM0373,SA0373,Adam Yang,8.04,609.82
CM0374,SA0374,Robert Prince,3.49,154.72
CM0375,SA0375,Thomas Manning,6.25,16.23
CM0376,SA0376,Lee Brown,7.78,534.64
CM0377,SA0377,Vincent Yang,9.43,223.75
CM0378,SA0378,Susan Simmons,9.11,1756.61
CM0379,SA0379,Todd Jackson,3.09,336.89
CM0380,SA0380,Alejandro Johnson,8.98,295.04
CM0381,SA0381,Jacqueline Phillips,5.49,1175.78
CM0382,SA0382,Crystal Harris,3.44,475.13
CM0383,SA0383,Cristina Hammond,1.86,219.03
CM0384,SA0384,Ashley Wright,2.19,45.57
CM0385,SA0385,Patricia Wallace,3.98,374.21
CM0386,SA0386,Blake Swanson,4.18,981.47
CM0387,SA0387,Kara Barker,5.37,1282.22
CM0388,SA0388,Joseph Ryan,4.16,700.22
CM0389,SA0389,Holly Mcdonald,7.82,912.06
CM0390,SA0390,Alexis Rodriguez,9.07,1149.82
CM0391,SA0391,Mark Goodman,9.16,94.53
CM0392,SA0392,Laurie Jackson,6.77,1490.15
CM0393,SA0393,Dawn Nelson,7.35,746.76
CM0394,SA0394,Eric Chase III,3.8,756.46
CM0395,SA0395,Douglas Miller,4.41,580.79
CM0396,SA0396,Ronnie Hernandez,9.53,1586.53
CM0397,SA0397,Robert Rivera,2.88,194.26
CM0398,SA0398,Andrew Mayo,1.95,322.53
CM0399,SA0399,Lisa Snyder,8.05,2003.05
CM0400,SA0400,Molly Hatfield,9.69,1140.5
CM0401,SA0401,Amy Martinez,1.61,186.82
CM0402,SA0402,James Atkinson,9.43,125.73
CM0403,SA0403,Haley Wu,3.1,436.72
CM0404,SA0404,Dr. Amy Smith,9.21,1589.61
CM0405,SA0405,Jorge Smith,7.01,979.72
CM0406,SA0406,Adam Collins,6.63,1524.68
CM0407,SA0407,Stephen Watson,7.48,1811.29
CM0408,SA0408,Raymond Orozco,6.42,95.71
CM0409,SA0409,Tina Hall,9.47,2116.67
CM0410,SA0410,Andrew Prince,2.4,42.15
CM0411,SA0411,Linda Hart,4.77,331.74
CM0412,SA0412,Jessica Moore,3.18,383.2
CM0413,SA0413,Amanda Pugh,7.26,33.15
CM0414,SA0414,Felicia Baxter,2.96,116.44
CM0415,SA0415,Nicholas Palmer,6.78,1280.01
CM0416,SA0416,Matthew Hernandez,4.06,778.17
CM0417,SA0417,Sherri Hicks,5.66,705.67
CM0418,SA0418,Robert Garrison,3.72,20.71
CM0419,SA0419,Patrick Moore,7.45,210.26
CM0420,SA0420,Ryan Cruz,3.36,233.9
CM0421,SA0421,Stephanie Archer,8.99,1087.59
CM0422,SA0422,Jerome Cook II,8.06,338.65
CM0423,SA0423,David Norris,2.07,566.63
CM0424,SA0424,Alexander Phillips,2.16,508.89
CM0425,SA0425,Rebecca Nichols,2.58,114.62
CM0426,SA0426,Arthur Trujillo,3.49,199.31
CM0427,SA0427,Jennifer Smith,6.02,213.25
CM0428,SA0428,Christopher Bishop,1.94,144.49
CM0429,SA0429,Andrew Shields,6.87,940.29
CM0430,SA0430,Kimberly Parker,5.21,906.43
CM0431,SA0431,John Cooper,3.44,9.99
CM0432,SA0432,Brianna Allen,9.71,1521.19
CM0433,SA0433,April Clark,2.88,450.01
CM0434,SA0434,Stephanie Osborne,7.09,1229.83
CM0435,SA0435,Mitchell Austin,2.78,227.72
CM0436,SA0436,William Patterson,7.4,218.67
CM0437,SA0437,Jonathan Miller,2.36,119.54
CM0438,SA0438,Evan Walters,1.92,260.25
CM0439,SA0439,Michele Martinez,2.62,698.69
CM0440,SA0440,Donna Clark,2.08,317.23
CM0441,SA0441,Christopher Johnson,8.53,1429.73
CM0442,SA0442,Karen Garcia DDS,2.85,291.93
CM0443,SA0443,Erica Williams,7.14,1221.31
CM0444,SA0444,James Johnson,8.51,487.65
CM0445,SA0445,Rita Mack,9.0,573.52
CM0446,SA0446,Michael Owens,6.13,104.59
CM0447,SA0447,Rachel Young,9.33,1186.74
CM0448,SA0448,Jonathan Garcia,6.22,1181.81
CM0449,SA0449,Jenny Thompson,3.71,767.63
CM0450,SA0450,Joshua Curry,2.34,254.05
CM0451,SA0451,Heather Washington,7.94,30.34
CM0452,SA0452,Thomas Rodriguez,7.55,1567.81
CM0453,SA0453,Hannah Cline,4.43,796.97
CM0454,SA0454,Sharon Gonzalez,3.98,481.85
CM0455,SA0455,Ellen Osborn,7.97,719.79
CM0456,SA0456,Natasha Larson,1.06,310.22
CM0457,SA0457,Jeffery Gordon,5.76,248.58
CM0458,SA0458,Kathy Gill,6.04,309.01
CM0459,SA0459,Maria Graves,7.5,1356.3
CM0460,SA0460,Anne Davis,8.79,831.79
CM0461,SA0461,Kayla Holmes,4.07,210.78
CM0462,SA0462,Michelle Rosario,4.06,595.49
CM0463,SA0463,David Ward,1.24,239.13
CM0464,SA0464,Jonathan Harmon,6.75,1178.33
CM0465,SA0465,Courtney Patel,2.72,15.67
CM0466,SA0466,Joseph Wilkerson,1.85,199.52
CM0467,SA0467,Daniel Lin,4.8,197.5
CM0468,SA0468,Justin Collins,9.42,1521.34
CM0469,SA0469,Jaime Ferguson,1.33,46.81
CM0470,SA0470,Stacey Jenkins,6.28,160.48
CM0471,SA0471,Tim Carpenter,9.65,1766.5
CM0472,SA0472,Wyatt Mahoney,9.54,3250.52
CM0473,SA0473,Kimberly Clark,2.55,389.04
CM0474,SA0474,Sean Wallace,3.15,131.04
CM0475,SA0475,Ana Stewart,7.5,1049.99
CM0476,SA0476,Chad Barber,6.2,1121.01
CM0477,SA0477,Martha Hawkins,4.27,4.68
CM0478,SA0478,Mr. Joseph Sullivan DDS,4.74,311.22
CM0479,SA0479,Jacob Diaz,5.31,348.58
CM0480,SA0480,Stacey Mills,8.27,1705.93
CM0481,SA0481,Joel King,8.97,2366.08
CM0482,SA0482,Kathleen Wells,1.51,302.19
CM0483,SA0483,James Spence,5.22,152.52
CM0484,SA0484,Sabrina Hunt,7.04,256.22
CM0485,SA0485,Sandra Jones,2.16,96.6
CM0486,SA0486,Christopher Bell,8.05,2448.73
CM0487,SA0487,Allison Pruitt,9.34,798.88
CM0488,SA0488,Kendra Douglas,8.11,2431.48
CM0489,SA0489,Denise Shelton,3.03,119.44
CM0490,SA0490,Sylvia Trevino,5.58,336.44
CM0491,SA0491,Lisa Adams,7.98,190.16
CM0492,SA0492,Alexandra Mata,3.58,337.95
CM0493,SA0493,Eric Baker,7.12,1482.4
CM0494,SA0494,Katie Mueller,7.47,1034.46
CM0495,SA0495,Megan Allen,4.13,261.09
CM0496,SA0496,Andrew Harrington,6.24,927.38
CM0497,SA0497,Kent Hamilton,4.56,1239.44
CM0498,SA0498,Omar Jackson,4.07,539.88
CM0499,SA0499,Samantha Johnston,5.66,259.43
CM0500,SA0500,Rachel Blankenship,2.48,277.19
CM0501,SA0501,Kevin Richardson,2.15,187.13
CM0502,SA0502,Matthew Vance,2.1,550.21
CM0503,SA0503,James Rivers,6.12,520.16
CM0504,SA0504,Amy Bailey,4.93,1477.45
CM0505,SA0505,Kyle Lane,7.23,189.57
CM0506,SA0506,Matthew Johnson,2.16,86.91
CM0507,SA0507,Nancy Underwood,1.43,472.48
CM0508,SA0508,Juan Burton,1.58,230.89
CM0509,SA0509,Kevin Salinas,9.62,227.84
CM0510,SA0510,Thomas Flores,6.81,654.26
CM0511,SA0511,Anthony Lane,1.56,270.35
CM0512,SA0512,Samuel Burgess,7.83,818.61
CM0513,SA0513,Julia Lynch,2.69,280.67
CM0514,SA0514,Donna Jackson,3.83,433.4
CM0515,SA0515,Alicia Koch,1.44,155.39
CM0516,SA0516,Glenn Norris,6.44,1226.19
CM0517,SA0517,Chris Martinez,8.0,704.17
CM0518,SA0518,Caleb Cooper,3.69,69.81
CM0519,SA0519,Holly Henson,6.5,1243.56
CM0520,SA0520,Mary Robinson,1.67,64.24
